Month,Longitudes,Latitudes,Elevation,ExtSR,MonthlyAvgI_HP,MonthlyAvgI_IncP,OptSlopeAngle,MontlyAvgI_B,Ratio_D_G
January,68,26,81,1.367,127.69,174.81,27,159.03,0.35
February,68,26,81,1.367,126.36,155.29,27,133.49,0.37
March,68,26,81,1.367,193.46,216.06,27,199.96,0.31
April,68,26,81,1.367,218.66,220.21,27,207.2,0.31
May,68,26,81,1.367,234.86,217.67,27,207.18,0.33
June,68,26,81,1.367,220.55,197.84,27,179.96,0.37
July,68,26,81,1.367,217.05,200.08,27,156.16,0.43
August,68,26,81,1.367,214.78,209.59,27,173.18,0.39
September,68,26,81,1.367,188.46,201.57,27,175.91,0.34
October,68,26,81,1.367,177.65,215.08,27,199.19,0.3
November,68,26,81,1.367,139.43,187.52,27,173.26,0.33
December,68,26,81,1.367,128.32,182.72,27,170.84,0.34
January,69,26,20,1.367,126.95,173.46,27,156.48,0.36
February,69,26,20,1.367,129.65,159.81,27,138.53,0.37
March,69,26,20,1.367,193.02,215.53,27,199.23,0.32
April,69,26,20,1.367,219.21,220.42,27,207.98,0.31
May,69,26,20,1.367,233.68,216.29,27,204.42,0.34
June,69,26,20,1.367,221.69,199.27,27,177.29,0.38
July,69,26,20,1.367,215.08,198.01,27,153.87,0.44
August,69,26,20,1.367,212.58,207.46,27,168.77,0.4
September,69,26,20,1.367,186.45,199.49,27,172.35,0.36
October,69,26,20,1.367,178.02,215.56,27,199.86,0.3
November,69,26,20,1.367,139.02,186.94,27,172.24,0.33
December,69,26,20,1.367,128.51,183.27,27,171.6,0.34
January,70.14,26.12,68,1.367,130.91,181.76,28,166.32,0.35
February,70.14,26.12,68,1.367,139.48,173.66,28,148.26,0.36
March,70.14,26.12,68,1.367,197.12,220.76,28,200.55,0.32
April,70.14,26.12,68,1.367,217.25,217.96,28,199.82,0.33
May,70.14,26.12,68,1.367,233.92,216.95,28,193.41,0.36
June,70.14,26.12,68,1.367,222.04,199.46,28,168.51,0.41
July,70.14,26.12,68,1.367,218.51,200.36,28,156.82,0.43
August,70.14,26.12,68,1.367,210.14,204.69,28,162.66,0.41
September,70.14,26.12,68,1.367,182.46,194.41,28,158.33,0.39
October,70.14,26.12,68,1.367,179.33,217.39,28,197.45,0.32
November,70.14,26.12,68,1.367,140.56,189.82,28,171.37,0.34
December,70.14,26.12,68,1.367,132.45,191.55,28,179.93,0.33
January,71.51,26.13,223,1.367,135.51,188.61,28,175.67,0.33
February,71.51,26.13,223,1.367,158.02,200.16,28,186.29,0.3
March,71.51,26.13,223,1.367,190.73,212.91,28,179.79,0.35
April,71.51,26.13,223,1.367,217.76,218.11,28,197.52,0.34
May,71.51,26.13,223,1.367,238.32,220.35,28,201.48,0.35
June,71.51,26.13,223,1.367,214.43,193.01,28,156.64,0.43
July,71.51,26.13,223,1.367,208.39,191.87,28,136.79,0.48
August,71.51,26.13,223,1.367,187.91,182.91,28,124.23,0.48
September,71.51,26.13,223,1.367,197.46,211.74,28,187.11,0.34
October,71.51,26.13,223,1.367,169.88,204.84,28,179.31,0.34
November,71.51,26.13,223,1.367,141.59,191.74,28,174.85,0.33
December,71.51,26.13,223,1.367,129.71,187.05,28,175.04,0.34
January,72.32,26.23,191,1.367,128.81,180.55,28,169.79,0.33
February,72.32,26.23,191,1.367,138.19,172.98,28,153.04,0.34
March,72.32,26.23,191,1.367,194.76,218.86,28,203.82,0.3
April,72.32,26.23,191,1.367,214.22,214.67,28,202.18,0.32
May,72.32,26.23,191,1.367,228.83,211.31,28,191.86,0.36
June,72.32,26.23,191,1.367,217.56,194.61,28,164.51,0.41
July,72.32,26.23,191,1.367,212.06,194.61,28,147.14,0.45
August,72.32,26.23,191,1.367,207.82,202.21,28,165,0.4
September,72.32,26.23,191,1.367,170.66,182.08,28,150.82,0.39
October,72.32,26.23,191,1.367,175.84,213.77,28,196.61,0.31
November,72.32,26.23,191,1.367,138.91,189.33,28,175.52,0.32
December,72.32,26.23,191,1.367,130.81,191.77,28,186.26,0.3
January,73.053,26.244,211,1.367,134.32,189.57,29,179.41,0.31
February,73.053,26.244,211,1.367,150.34,192.12,29,182.81,0.28
March,73.053,26.244,211,1.367,193.58,217.79,29,198.94,0.31
April,73.053,26.244,211,1.367,215.42,215.41,29,199.39,0.32
May,73.053,26.244,211,1.367,228.32,210.79,29,184.42,0.37
June,73.053,26.244,211,1.367,206.19,184.87,29,147.38,0.44
July,73.053,26.244,211,1.367,181.63,167.27,29,102.65,0.55
August,73.053,26.244,211,1.367,166.71,161.38,29,104.12,0.51
September,73.053,26.244,211,1.367,192.49,206.51,29,185.34,0.33
October,73.053,26.244,211,1.367,162.05,196.16,29,173.33,0.34
November,73.053,26.244,211,1.367,140.21,192.84,29,182.45,0.3
December,73.053,26.244,211,1.367,128.41,188.82,29,182.54,0.3
January,73.432,26.25,246,1.367,135.38,191.56,29,182.74,0.3
February,73.432,26.25,246,1.367,149.79,191.03,29,180.75,0.29
March,73.432,26.25,246,1.367,191.72,215.35,29,19.11,0.32
April,73.432,26.25,246,1.367,215.61,215.64,29,199.63,0.32
May,73.432,26.25,246,1.367,228.24,210.35,29,185.34,0.38
June,73.432,26.25,246,1.367,207.47,186.14,29,14.86,0.43
July,73.432,26.25,246,1.367,182.31,167.91,29,103,0.55
August,73.432,26.25,246,1.367,165.97,160.41,29,105.32,0.51
September,73.432,26.25,246,1.367,191.77,205.67,29,185.01,0.33
October,73.432,26.25,246,1.367,161.98,195.85,29,171.71,0.34
November,73.432,26.25,246,1.367,140.22,192.93,29,182.89,0.3
December,73.432,26.25,246,1.367,128.67,189.25,29,183.36,0.3
January,74.12,26.2,351,1.367,136.57,193.57,29,185.12,0.3
February,74.12,26.2,351,1.367,150.95,192.26,29,180.1,0.3
March,74.12,26.2,351,1.367,193.59,217.59,29,198.51,0.32
April,74.12,26.2,351,1.367,213.53,213.11,29,194.69,0.33
May,74.12,26.2,351,1.367,226.93,208.41,29,183.94,0.39
June,74.12,26.2,351,1.367,205.21,183.84,29,146.24,0.44
July,74.12,26.2,351,1.367,181.93,167.53,29,102.34,0.55
August,74.12,26.2,351,1.367,161.57,156.12,29,96.69,0.54
September,74.12,26.2,351,1.367,192.55,206.47,29,184.52,0.34
October,74.12,26.2,351,1.367,163.37,197.88,29,174.31,0.34
November,74.12,26.2,351,1.367,140.94,194.16,29,184.4,0.3
December,74.12,26.2,351,1.367,129.49,190.91,29,185.27,0.3
January,73.32,28.008,226,1.367,110.61,151.22,29,125.12,0.42
February,73.32,28.008,226,1.367,141.74,182.29,29,164.66,0.33
March,73.32,28.008,226,1.367,177.25,200.05,29,172.58,0.36
April,73.32,28.008,226,1.367,207.13,209.22,29,189.26,0.34
May,73.32,28.008,226,1.367,220.16,205.44,29,173.04,0.4
June,73.32,28.008,226,1.367,204.47,186.21,29,136.69,0.47
July,73.32,28.008,226,1.367,192.31,178.79,29,112.95,0.53
August,73.32,28.008,226,1.367,169.64,166.05,29,109.27,0.5
September,73.32,28.008,226,1.367,186.45,202.36,29,175.74,0.35
October,73.32,28.008,226,1.367,162.41,199.04,29,173.82,0.35
November,73.32,28.008,226,1.367,128.04,176.36,29,157.34,0.35
December,73.32,28.008,226,1.367,114.19,166.66,29,150.29,0.37
January,91.69,26.195,187,1.367,120.19,166.31,30,143.72,0.38
February,91.69,26.195,187,1.367,135.96,166.93,30,131.75,0.4
March,91.69,26.195,187,1.367,170.33,188.51,30,147.44,0.4
April,91.69,26.195,187,1.367,143.99,141.8,30,85.37,0.57
May,91.69,26.195,187,1.367,144.96,133.7,30,80.53,0.59
June,91.69,26.195,187,1.367,150.41,134.87,30,89.53,0.55
July,91.69,26.195,187,1.367,123.41,112.28,30,62.8,0.64
August,91.69,26.195,187,1.367,165.29,157.31,30,119.98,0.49
September,91.69,26.195,187,1.367,114.78,117.73,30,65.82,0.61
October,91.69,26.195,187,1.367,145.35,176.56,30,156.22,0.33
November,91.69,26.195,187,1.367,135.57,186.29,30,173.9,0.31
December,91.69,26.195,187,1.367,125.59,185.04,30,176.82,0.29
January,75.206,26.3,346,1.367,130.38,184.71,30,172.64,0.32
February,75.206,26.3,346,1.367,140.07,178.65,30,165.08,0.31
March,75.206,26.3,346,1.367,189.54,212.06,30,193.55,0.31
April,75.206,26.3,346,1.367,207.88,207.93,30,195.4,0.32
May,75.206,26.3,346,1.367,225.62,206.64,30,181.75,0.39
June,75.206,26.3,346,1.367,191.57,171.49,30,128.82,0.47
July,75.206,26.3,346,1.367,163.72,150.18,30,91.37,0.56
August,75.206,26.3,346,1.367,198.89,192.05,30,156.53,0.42
September,75.206,26.3,346,1.367,158.98,167.32,30,128.51,0.45
October,75.206,26.3,346,1.367,175.61,214.63,30,200.65,0.3
November,75.206,26.3,346,1.367,141.57,196.53,30,187.2,0.3
December,75.206,26.3,346,1.367,131.14,194.74,30,17.86,0.3
January,76.126,26.2,251,1.367,129.78,182.95,30,169.72,0.33
February,76.126,26.2,251,1.367,141.09,179.68,30,166.34,0.31
March,76.126,26.2,251,1.367,188.52,210.66,30,195.43,0.31
April,76.126,26.2,251,1.367,207.12,207.23,30,191.84,0.33
May,76.126,26.2,251,1.367,224.84,205.86,30,181.04,0.39
June,76.126,26.2,251,1.367,192.35,172.28,30,129.28,0.47
July,76.126,26.2,251,1.367,158.91,145.93,30,85.92,0.57
August,76.126,26.2,251,1.367,199.17,192.23,30,156.09,0.42
September,76.126,26.2,251,1.367,158.11,166.03,30,128.36,0.44
October,76.126,26.2,251,1.367,176.66,216.03,30,202.57,0.3
November,76.126,26.2,251,1.367,141.46,195.01,30,183,0.3
December,76.126,26.2,251,1.367,130.89,193.81,30,185.84,0.3
January,77.226,26.2,196,1.367,133.94,189.78,30,177.22,0.32
February,77.226,26.2,196,1.367,152.84,195.56,30,184.12,0.29
March,77.226,26.2,196,1.367,189.09,212.28,30,193.09,0.32
April,77.226,26.2,196,1.367,209.12,208.15,30,188.09,0.35
May,77.226,26.2,196,1.367,221.46,203.12,30,174.95,0.39
June,77.226,26.2,196,1.367,205.72,183.85,30,143.49,0.45
July,77.226,26.2,196,1.367,146.51,134.71,30,73.82,0.6
August,77.226,26.2,196,1.367,139.55,133.87,30,73.76,0.6
September,77.226,26.2,196,1.367,187.12,200.23,30,177,0.34
October,77.226,26.2,196,1.367,164.34,199.62,30,176.26,0.34
November,77.226,26.2,196,1.367,140.67,194.29,30,181.46,0.31
December,77.226,26.2,196,1.367,127.42,186.84,30,173.97,0.32
January,78.226,26.3,188,1.367,117.19,160.81,30,137.3,0.39
February,78.226,26.3,188,1.367,141.15,178.66,30,161.31,0.32
March,78.226,26.3,188,1.367,183.67,205.76,30,189.34,0.31
April,78.226,26.3,188,1.367,208.14,208.66,30,190.25,0.33
May,78.226,26.3,188,1.367,220.52,203.51,30,168.75,0.4
June,78.226,26.3,188,1.367,191.66,172.44,30,122.84,0.49
July,78.226,26.3,188,1.367,142.78,131.53,30,73.2,0.6
August,78.226,26.3,188,1.367,182.41,176.75,30,135.57,0.45
September,78.226,26.3,188,1.367,153.67,161.75,30,118.05,0.46
October,78.226,26.3,188,1.367,175.79,214.31,30,95.86,0.31
November,78.226,26.3,188,1.367,139.12,190.59,30,172.75,0.33
December,78.226,26.3,188,1.367,125.68,182.33,30,164.83,0.3
January,79.211,26.1,151,1.367,121.31,166.34,29,145.17,0.38
February,79.211,26.1,151,1.367,149.46,189.42,29,176.08,0.31
March,79.211,26.1,151,1.367,189.36,212.92,29,194.9,0.31
April,79.211,26.1,151,1.367,209.49,209,29,187.79,0.35
May,79.211,26.1,151,1.367,214.25,198.38,29,160.07,0.42
June,79.211,26.1,151,1.367,190.64,172.23,29,121.58,0.49
July,79.211,26.1,151,1.367,141.85,131.34,29,64.17,0.64
August,79.211,26.1,151,1.367,149.74,144.03,29,81.44,0.59
September,79.211,26.1,151,1.367,174.21,184.74,29,147.96,0.41
October,79.211,26.1,151,1.367,163.07,196.25,29,169.04,0.35
November,79.211,26.1,151,1.367,137.44,186.25,29,166.79,0.34
December,79.211,26.1,151,1.367,113.98,159.15,29,134.72,0.41
January,80.312,26.126,122,1.367,124.56,171.77,29,152.12,0.36
February,80.312,26.126,122,1.367,147.02,185.37,29,170.03,0.32
March,80.312,26.126,122,1.367,188.47,211.53,29,190.91,0.32
April,80.312,26.126,122,1.367,207.98,207.91,29,184.31,0.36
May,80.312,26.126,122,1.367,213.47,197.83,29,159.91,0.42
June,80.312,26.126,122,1.367,189.61,171.74,29,122.33,0.49
July,80.312,26.126,122,1.367,137.72,128.21,29,55.74,0.68
August,80.312,26.126,122,1.367,161.32,155.96,29,101.76,0.53
September,80.312,26.126,122,1.367,156.64,164.811,29,122.27,0.45
October,80.312,26.126,122,1.367,164.35,197.25,29,165.71,0.36
November,80.312,26.126,122,1.367,136.37,183.28,29,161.21,0.35
December,80.312,26.126,122,1.367,104.66,141.39,29,110.38,0.48
January,81.201,26.206,111,1.367,115.31,154.86,28,127.64,0.42
February,81.201,26.206,111,1.367,139.01,173.69,28,153.34,0.35
March,81.201,26.206,111,1.367,188.29,210.62,28,191.3,0.32
April,81.201,26.206,111,1.367,208.94,209.91,28,187.69,0.35
May,81.201,26.206,111,1.367,221.38,205.45,28,173.69,0.4
June,81.201,26.206,111,1.367,201.59,181.92,28,139.52,0.46
July,81.201,26.206,111,1.367,150.53,139.53,28,77.06,0.6
August,81.201,26.206,111,1.367,168.29,162.92,28,117.3,0.48
September,81.201,26.206,111,1.367,144.95,152.41,28,110.76,0.47
October,81.201,26.206,111,1.367,158.21,187.63,28,155.31,0.39
November,81.201,26.206,111,1.367,138.92,187.25,28,167.79,0.34
December,81.201,26.206,111,1.367,122.27,172.81,28,152.49,0.38
January,82.121,26.26,96,1.367,126.14,174.46,29,153.98,0.36
February,82.121,26.26,96,1.367,144.28,182.23,29,165.23,0.33
March,82.121,26.26,96,1.367,190.41,214.14,29,195.31,0.31
April,82.121,26.26,96,1.367,207.19,207.12,29,183.62,0.36
May,82.121,26.26,96,1.367,216.39,200.85,29,162.94,0.41
June,82.121,26.26,96,1.367,190.94,172.98,29,122.21,0.49
July,82.121,26.26,96,1.367,142.22,131.79,29,61.74,0.66
August,82.121,26.26,96,1.367,156.68,151.64,29,94.1,0.54
September,82.121,26.26,96,1.367,151.11,157.58,29,107.11,0.5
October,82.121,26.26,96,1.367,164.21,197.57,29,167.1,0.36
November,82.121,26.26,96,1.367,135.44,182.65,29,159.82,0.36
December,82.121,26.26,96,1.367,102.49,138.44,29,107.62,0.49
January,83.221,26.16,80,1.367,119.01,160.71,28,133.99,0.41
February,83.221,26.16,80,1.367,144.76,181.73,28,161.87,0.34
March,83.221,26.16,80,1.367,192.55,216.24,28,198.13,0.31
April,83.221,26.16,80,1.367,211.58,211.95,28,191.81,0.34
May,83.221,26.16,80,1.367,210.01,195.51,28,152.79,0.43
June,83.221,26.16,80,1.367,179.69,163.38,28,111.6,0.51
July,83.221,26.16,80,1.367,133.66,123.82,28,60.17,0.65
August,83.221,26.16,80,1.367,168.61,163.39,28,106.68,0.52
September,83.221,26.16,80,1.367,137.36,142.67,28,88.27,0.55
October,83.221,26.16,80,1.367,158.54,189.9,28,158.43,0.37
November,83.221,26.16,80,1.367,135.63,182.44,28,161.61,0.35
December,83.221,26.16,80,1.367,85.55,109.57,28,75.06,0.57
January,84.11,26.23,67,1.367,117.45,159.31,28,133.57,0.4
February,84.11,26.23,67,1.367,144.15,180.61,28,159.27,0.35
March,84.11,26.23,67,1.367,191.48,215.01,28,194.44,0.32
April,84.11,26.23,67,1.367,212.52,213.02,28,191.17,0.34
May,84.11,26.23,67,1.367,207.72,193.28,28,151.03,0.43
June,84.11,26.23,67,1.367,179.79,163.69,28,109.44,0.52
July,84.11,26.23,67,1.367,132.16,122.43,28,58.72,0.66
August,84.11,26.23,67,1.367,167.56,161.88,28,109.93,0.51
September,84.11,26.23,67,1.367,133.82,138.94,28,83.57,0.55
October,84.11,26.23,67,1.367,157.64,189.22,28,158.54,0.37
November,84.11,26.23,67,1.367,135.19,181.97,28,161.17,0.35
December,84.11,26.23,67,1.367,86.11,110.89,28,77.21,0.57
January,85.375,26.117,55,1.367,115.89,155.03,28,128.29,0.43
February,85.375,26.117,55,1.367,142.87,177.15,28,151.97,0.37
March,85.375,26.117,55,1.367,186.22,208.43,28,185.72,0.33
April,85.375,26.117,55,1.367,212.52,213.09,28,190.84,0.34
May,85.375,26.117,55,1.367,201.39,188.33,28,144.21,0.44
June,85.375,26.117,55,1.367,183.13,166.89,28,116.78,0.49
July,85.375,26.117,55,1.367,146.88,135.99,28,73.29,0.62
August,85.375,26.117,55,1.367,184.83,178.93,28,133.99,0.46
September,85.375,26.117,55,1.367,125.58,130.31,28,177.39,0.56
October,85.375,26.117,55,1.367,156.07,185.81,28,152.9,0.39
November,85.375,26.117,55,1.367,133.91,178.44,28,155.87,0.36
December,85.375,26.117,55,1.367,95.39,125.39,28,93.26,0.51
January,86.227,26.274,61,1.367,114.81,153.59,28,126.78,0.43
February,86.227,26.274,61,1.367,142.31,176.71,28,152.54,0.37
March,86.227,26.274,61,1.367,187.62,210.38,28,188.54,0.33
April,86.227,26.274,61,1.367,215.18,216.07,28,196.64,0.33
May,86.227,26.274,61,1.367,197.82,184.91,28,142.22,0.44
June,86.227,26.274,61,1.367,180.67,164.64,28,116.17,0.49
July,86.227,26.274,61,1.367,154.88,142.83,28,82.77,0.61
August,86.227,26.274,61,1.367,192.67,187.18,28,148.89,0.41
September,86.227,26.274,61,1.367,121.13,125.61,28,174.8,0.57
October,86.227,26.274,61,1.367,157.79,189.28,28,163.5,0.36
November,86.227,26.274,61,1.367,134.28,179.61,28,157.77,0.36
December,86.227,26.274,61,1.367,95.61,127.11,28,97.97,0.5
January,87.026,26.255,64,1.367,111.25,149.52,28,124.99,0.42
February,87.026,26.255,64,1.367,129.13,159.88,28,135.02,0.38
March,87.026,26.255,64,1.367,184.72,207.31,28,186.79,0.32
April,87.026,26.255,64,1.367,211.95,213.35,28,202.39,0.31
May,87.026,26.255,64,1.367,217.52,201.88,28,171.45,0.39
June,87.026,26.255,64,1.367,194.77,175.39,28,143.36,0.44
July,87.026,26.255,64,1.367,170.72,157.24,28,112.9,0.5
August,87.026,26.255,64,1.367,153.86,149.25,28,95.4,0.54
September,87.026,26.255,64,1.367,159.61,168.59,28,129.22,0.42
October,87.026,26.255,64,1.367,147.49,174.31,28,142.46,0.41
November,87.026,26.255,64,1.367,133.61,177.81,28,154.95,0.37
December,87.026,26.255,64,1.367,124.84,177.49,28,159.99,0.36
January,88.002,26.105,54,1.367,117.48,158.47,30,126.17,0.42
February,88.002,26.105,54,1.367,137.9,169.88,30,135.4,0.4
March,88.002,26.105,54,1.367,183.95,204.99,30,173.6,0.37
April,88.002,26.105,54,1.367,199.86,198.4,30,161.52,0.4
May,88.002,26.105,54,1.367,173.01,160.71,30,103.48,0.53
June,88.002,26.105,54,1.367,145.01,131.2,30,75.92,0.6
July,88.002,26.105,54,1.367,129.03,118.26,30,55.14,0.69
August,88.002,26.105,54,1.367,165.91,158.42,30,109.59,0.52
September,88.002,26.105,54,1.367,107.47,110.01,30,59.09,0.62
October,88.002,26.105,54,1.367,151.54,183.56,30,159.87,0.35
November,88.002,26.105,54,1.367,137.29,187.26,30,168.11,0.34
December,88.002,26.105,54,1.367,126.72,184.48,30,168.68,0.34
January,89.155,26.164,51,1.367,113.55,151.82,30,117.94,0.45
February,89.155,26.164,51,1.367,142.84,177.19,30,145.75,0.38
March,89.155,26.164,51,1.367,179.92,200.07,30,165.86,0.37
April,89.155,26.164,51,1.367,189.38,187.85,30,149.08,0.42
May,89.155,26.164,51,1.367,167.59,156.03,30,98.34,0.54
June,89.155,26.164,51,1.367,148.15,133.92,30,83.59,0.55
July,89.155,26.164,51,1.367,124.42,114.1,30,54.33,0.69
August,89.155,26.164,51,1.367,162.1,155.27,30,110.62,0.5
September,89.155,26.164,51,1.367,114.28,118.32,30,70.84,0.56
October,89.155,26.164,51,1.367,149.85,181.97,30,161.82,0.33
November,89.155,26.164,51,1.367,137.06,187.09,30,169.38,0.33
December,89.155,26.164,51,1.367,123.82,179.73,31,164.48,0.34
January,90.004,26.017,28,1.367,123.18,169.83,31,144.56,0.38
February,90.004,26.017,28,1.367,141.87,175.85,31,143.56,0.37
March,90.004,26.017,28,1.367,178.24,197.66,31,160.91,0.38
April,90.004,26.017,28,1.367,156.36,153.8,31,93.07,0.57
May,90.004,26.017,28,1.367,153.31,141.34,31,89.87,0.56
June,90.004,26.017,28,1.367,142.77,127.51,31,84.83,0.55
July,90.004,26.017,28,1.367,117.07,107.04,31,52.12,0.67
August,90.004,26.017,28,1.367,167.55,159.16,31,122,0.49
September,90.004,26.017,28,1.367,118.47,121.97,31,74.32,0.57
October,90.004,26.017,28,1.367,147.56,180.38,31,165.42,0.32
November,90.004,26.017,28,1.367,141.53,196.24,31,186.85,0.29
December,90.004,26.017,28,1.367,125.83,185.45,31,176.83,0.3
January,91.111,26.078,40,1.367,125.48,174.64,30,152.92,0.36
February,91.111,26.078,40,1.367,143.18,178.11,30,147.33,0.37
March,91.111,26.078,40,1.367,177.71,197.72,30,162.7,0.38
April,91.111,26.078,40,1.367,159.47,157.47,30,104.47,0.52
May,91.111,26.078,40,1.367,153.63,141.4,30,93,0.54
June,91.111,26.078,40,1.367,154.95,137.81,30,101.24,0.51
July,91.111,26.078,40,1.367,125.64,114.26,30,60.68,0.65
August,91.111,26.078,40,1.367,163.51,155.61,30,116.7,0.49
September,91.111,26.078,40,1.367,127.54,132.77,30,87.87,0.51
October,91.111,26.078,40,1.367,152.96,186.61,30,169.34,0.31
November,91.111,26.078,40,1.367,139.39,192.84,30,182.7,0.29
December,91.111,26.078,40,1.367,128.12,189.75,30,183.24,0.29
January,92.147,26.195,56,1.367,121.83,168.82,30,147.51,0.36
February,92.147,26.195,56,1.367,144.32,179.77,30,150.47,0.37
March,92.147,26.195,56,1.367,172.14,191.31,30,155.83,0.38
April,92.147,26.195,56,1.367,157.48,155.86,30,105.81,0.51
May,92.147,26.195,56,1.367,152.58,140.49,30,95.8,0.54
June,92.147,26.195,56,1.367,160.1,142.81,30,106.24,0.5
July,92.147,26.195,56,1.367,130.59,118.79,30,65.76,0.64
August,92.147,26.195,56,1.367,172.51,164.87,30,129.3,0.45
September,92.147,26.195,56,1.367,127.96,133.2,30,88.42,0.53
October,92.147,26.195,56,1.367,153.27,186.5,30,169.42,0.32
November,92.147,26.195,56,1.367,138.4,190.55,30,178.15,0.29
December,92.147,26.195,56,1.367,126.55,186.04,30,177.27,0.29
January,93.029,26.11,82,1.367,120.45,166.04,29,145.83,0.37
February,93.029,26.11,82,1.367,138.61,170.68,29,139.12,0.39
March,93.029,26.11,82,1.367,161.34,177.1,29,132.23,0.44
April,93.029,26.11,82,1.367,149.6,147.9,29,97.41,0.51
May,93.029,26.11,82,1.367,146.68,136.1,29,84.85,0.56
June,93.029,26.11,82,1.367,153.61,138.47,29,92.25,0.54
July,93.029,26.11,82,1.367,130.99,119.68,29,64.06,0.65
August,93.029,26.11,82,1.367,183.55,176.07,29,144.09,0.41
September,93.029,26.11,82,1.367,135.95,141.69,29,94.84,0.52
October,93.029,26.11,82,1.367,147.77,177.8,29,155.46,0.35
November,93.029,26.11,82,1.367,134.84,184.61,29,173.29,0.3
December,93.029,26.11,82,1.367,126.16,184.86,29,179.43,0.28
January,94.101,26.2,615,1.367,114.75,156.89,29,135.52,0.39
February,94.101,26.2,615,1.367,132.5,161.38,29,125.91,0.42
March,94.101,26.2,615,1.367,156.64,172.11,29,126.99,0.44
April,94.101,26.2,615,1.367,138.09,136.83,29,83.66,0.55
May,94.101,26.2,615,1.367,144,134.15,29,82.71,0.56
June,94.101,26.2,615,1.367,160.6,144.91,29,100.11,0.52
July,94.101,26.2,615,1.367,127.22,116.5,29,65.29,0.63
August,94.101,26.2,615,1.367,175.75,168.79,29,134.23,0.44
September,94.101,26.2,615,1.367,132.72,138.21,29,91.97,0.52
October,94.101,26.2,615,1.367,147.64,177.46,29,153.33,0.35
November,94.101,26.2,615,1.367,131.95,180.49,29,170.37,0.31
December,94.101,26.2,615,1.367,125.28,182.66,29,176.72,0.3
January,95.028,26.2,1354,1.367,109.28,146.08,29,116.9,0.42
February,95.028,26.2,1354,1.367,96.59,112.29,29,67.24,0.57
March,95.028,26.2,1354,1.367,103.36,108.2,29,51.64,0.65
April,95.028,26.2,1354,1.367,142.38,141.48,29,93.61,0.51
May,95.028,26.2,1354,1.367,131.86,123.33,29,63.51,0.63
June,95.028,26.2,1354,1.367,141.09,128.11,29,72.72,0.6
July,95.028,26.2,1354,1.367,144.28,132.78,29,78.14,0.58
August,95.028,26.2,1354,1.367,138.91,134.11,29,71.1,0.6
September,95.028,26.2,1354,1.367,138.63,143.42,29,96.13,0.5
October,95.028,26.2,1354,1.367,121.71,140.81,29,103.7,0.46
November,95.028,26.2,1354,1.367,126.61,171.34,29,158.23,0.32
December,95.028,26.2,1354,1.367,120.47,175.51,29,168.52,0.27
January,96.236,26.095,531,1.367,92.93,116.97,26,84.31,0.52
February,96.236,26.095,531,1.367,79.23,88.11,26,49.28,0.62
March,96.236,26.095,531,1.367,109.57,114.32,26,52.89,0.67
April,96.236,26.095,531,1.367,96.52,95.07,26,33.69,0.74
May,96.236,26.095,531,1.367,104.27,99.42,26,39.36,0.72
June,96.236,26.095,531,1.367,119.66,112.21,26,43.63,0.72
July,96.236,26.095,531,1.367,104.08,98.32,26,33.27,0.77
August,96.236,26.095,531,1.367,137.67,132.96,26,74.15,0.63
September,96.236,26.095,531,1.367,90.41,91.48,26,33.47,0.72
October,96.236,26.095,531,1.367,111.29,126.23,26,90.3,0.5
November,96.236,26.095,531,1.367,107.82,137.01,26,112.63,0.42
December,96.236,26.095,531,1.367,106.38,144.05,26,128.15,0.39
January,97.379,26.16,416,1.367,104.1,138.5,30,109.93,0.45
February,97.379,26.16,416,1.367,91.25,108.13,30,72.24,0.53
March,97.379,26.16,416,1.367,80.77,83.74,30,38.42,0.67
April,97.379,26.16,416,1.367,123.08,121.51,30,74.25,0.56
May,97.379,26.16,416,1.367,133.01,122.45,30,70.61,0.62
June,97.379,26.16,416,1.367,121.07,109.59,30,56.76,0.64
July,97.379,26.16,416,1.367,126.16,116.14,30,56.19,0.66
August,97.379,26.16,416,1.367,98.3,93.3,30,36.22,0.74
September,97.379,26.16,416,1.367,132.45,135.86,30,90.08,0.53
October,97.379,26.16,416,1.367,111.7,127.28,30,90.7,0.52
November,97.379,26.16,416,1.367,119.99,161.95,30,147.4,0.35
December,97.379,26.16,416,1.367,117.05,172.88,30,170.92,0.29
January,68,28,47,1.367,124.46,175.24,28,159.05,0.35
February,68,28,47,1.367,148.23,190.17,28,175,0.33
March,68,28,47,1.367,161.81,180.94,28,144.59,0.41
April,68,28,47,1.367,208.13,210.62,28,193.56,0.32
May,68,28,47,1.367,236.24,220,28,213.28,0.33
June,68,28,47,1.367,230.5,207.94,28,192.08,0.36
July,68,28,47,1.367,216.46,201,28,151.76,0.45
August,68,28,47,1.367,201.51,198.88,28,147.92,0.43
September,68,28,47,1.367,192.5,209.21,28,189.14,0.33
October,68,28,47,1.367,171.91,212.51,28,200.92,0.29
November,68,28,47,1.367,132.19,182.36,28,168.61,0.33
December,68,28,47,1.367,116.19,168.74,28,154.97,0.37
January,69.194,28.284,69,1.367,127.1,181.04,29,164.33,0.35
February,69.194,28.284,69,1.367,150.97,195.17,29,179.03,0.33
March,69.194,28.284,69,1.367,174.52,197.55,29,163.48,0.38
April,69.194,28.284,69,1.367,212.13,214.57,29,196.02,0.34
May,69.194,28.284,69,1.367,243.46,226.56,29,217.54,0.33
